"","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked"
"2","Survived",1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)","Female",38,1,0,"PC 17599",71.2833,"C85","Cherbourg"
"3","Survived",3,"Heikkinen, Miss. Laina","Female",26,0,0,"STON/O2. 3101282",7.925,"","Southampton"
"4","Survived",1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)","Female",35,1,0,"113803",53.1,"C123","Southampton"
"9","Survived",3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)","Female",27,0,2,"347742",11.1333,"","Southampton"
"10","Survived",2,"Nasser, Mrs. Nicholas (Adele Achem)","Female",14,1,0,"237736",30.0708,"","Cherbourg"
"11","Survived",3,"Sandstrom, Miss. Marguerite Rut","Female",4,1,1,"PP 9549",16.7,"G6","Southampton"
"12","Survived",1,"Bonnell, Miss. Elizabeth","Female",58,0,0,"113783",26.55,"C103","Southampton"
"16","Survived",2,"Hewlett, Mrs. (Mary D Kingcome) ","Female",55,0,0,"248706",16,"","Southampton"
"22","Survived",2,"Beesley, Mr. Lawrence","Male",34,0,0,"248698",13,"D56","Southampton"
"23","Survived",3,"McGowan, Miss. Anna ""Annie""","Female",15,0,0,"330923",8.0292,"","Queenstown"
"24","Survived",1,"Sloper, Mr. William Thompson","Male",28,0,0,"113788",35.5,"A6","Southampton"
"26","Survived",3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)","Female",38,1,5,"347077",31.3875,"","Southampton"
"40","Survived",3,"Nicola-Yarred, Miss. Jamila","Female",14,1,0,"2651",11.2417,"","Cherbourg"
"44","Survived",2,"Laroche, Miss. Simonne Marie Anne Andree","Female",3,1,2,"SC/Paris 2123",41.5792,"","Cherbourg"
"45","Survived",3,"Devaney, Miss. Margaret Delia","Female",19,0,0,"330958",7.8792,"","Queenstown"
"53","Survived",1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)","Female",49,1,0,"PC 17572",76.7292,"D33","Cherbourg"
"54","Survived",2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)","Female",29,1,0,"2926",26,"","Southampton"
"57","Survived",2,"Rugg, Miss. Emily","Female",21,0,0,"C.A. 31026",10.5,"","Southampton"
"59","Survived",2,"West, Miss. Constance Mirium","Female",5,1,2,"C.A. 34651",27.75,"","Southampton"
"67","Survived",2,"Nye, Mrs. (Elizabeth Ramell)","Female",29,0,0,"C.A. 29395",10.5,"F33","Southampton"
"69","Survived",3,"Andersson, Miss. Erna Alexandra","Female",17,4,2,"3101281",7.925,"","Southampton"
"75","Survived",3,"Bing, Mr. Lee","Male",32,0,0,"1601",56.4958,"","Southampton"
"79","Survived",2,"Caldwell, Master. Alden Gates","Male",0.83,0,2,"248738",29,"","Southampton"
"80","Survived",3,"Dowdell, Miss. Elizabeth","Female",30,0,0,"364516",12.475,"","Southampton"
"82","Survived",3,"Sheerlinck, Mr. Jan Baptist","Male",29,0,0,"345779",9.5,"","Southampton"
"85","Survived",2,"Ilett, Miss. Bertha","Female",17,0,0,"SO/C 14885",10.5,"","Southampton"
"86","Survived",3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)","Female",33,3,0,"3101278",15.85,"","Southampton"
"89","Survived",1,"Fortune, Miss. Mabel Helen","Female",23,3,2,"19950",263,"C23 C25 C27","Southampton"
"98","Survived",1,"Greenfield, Mr. William Bertram","Male",23,0,1,"PC 17759",63.3583,"D10 D12","Cherbourg"
"99","Survived",2,"Doling, Mrs. John T (Ada Julia Bone)","Female",34,0,1,"231919",23,"","Southampton"
"107","Survived",3,"Salkjelsvik, Miss. Anna Kristine","Female",21,0,0,"343120",7.65,"","Southampton"
"124","Survived",2,"Webber, Miss. Susan","Female",32.5,0,0,"27267",13,"E101","Southampton"
"126","Survived",3,"Nicola-Yarred, Master. Elias","Male",12,1,0,"2651",11.2417,"","Cherbourg"
"128","Survived",3,"Madsen, Mr. Fridtjof Arne","Male",24,0,0,"C 17369",7.1417,"","Southampton"
"134","Survived",2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)","Female",29,1,0,"228414",26,"","Southampton"
"137","Survived",1,"Newsom, Miss. Helen Monypeny","Female",19,0,2,"11752",26.2833,"D47","Southampton"
"142","Survived",3,"Nysten, Miss. Anna Sofia","Female",22,0,0,"347081",7.75,"","Southampton"
"143","Survived",3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)","Female",24,1,0,"STON/O2. 3101279",15.85,"","Southampton"
"147","Survived",3,"Andersson, Mr. August Edvard (""Wennerstrom"")","Male",27,0,0,"350043",7.7958,"","Southampton"
"152","Survived",1,"Pears, Mrs. Thomas (Edith Wearne)","Female",22,1,0,"113776",66.6,"C2","Southampton"
"157","Survived",3,"Gilnagh, Miss. Katherine ""Katie""","Female",16,0,0,"35851",7.7333,"","Queenstown"
"162","Survived",2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)","Female",40,0,0,"C.A. 33595",15.75,"","Southampton"
"166","Survived",3,"Goldsmith, Master. Frank John William ""Frankie""","Male",9,0,2,"363291",20.525,"","Southampton"
"173","Survived",3,"Johnson, Miss. Eleanor Ileen","Female",1,1,1,"347742",11.1333,"","Southampton"
"184","Survived",2,"Becker, Master. Richard F","Male",1,2,1,"230136",39,"F4","Southampton"
"185","Survived",3,"Kink-Heilmann, Miss. Luise Gretchen","Female",4,0,2,"315153",22.025,"","Southampton"
"188","Survived",1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")","Male",45,0,0,"111428",26.55,"","Southampton"
"191","Survived",2,"Pinsky, Mrs. (Rosa)","Female",32,0,0,"234604",13,"","Southampton"
"193","Survived",3,"Andersen-Jensen, Miss. Carla Christine Nielsine","Female",19,1,0,"350046",7.8542,"","Southampton"
"194","Survived",2,"Navratil, Master. Michel M","Male",3,1,1,"230080",26,"F2","Southampton"
"195","Survived",1,"Brown, Mrs. James Joseph (Margaret Tobin)","Female",44,0,0,"PC 17610",27.7208,"B4","Cherbourg"
"196","Survived",1,"Lurette, Miss. Elise","Female",58,0,0,"PC 17569",146.5208,"B80","Cherbourg"
"205","Survived",3,"Cohen, Mr. Gurshon ""Gus""","Male",18,0,0,"A/5 3540",8.05,"","Southampton"
"208","Survived",3,"Albimona, Mr. Nassef Cassem","Male",26,0,0,"2699",18.7875,"","Cherbourg"
"209","Survived",3,"Carr, Miss. Helen ""Ellen""","Female",16,0,0,"367231",7.75,"","Queenstown"
"210","Survived",1,"Blank, Mr. Henry","Male",40,0,0,"112277",31,"A31","Cherbourg"
"212","Survived",2,"Cameron, Miss. Clear Annie","Female",35,0,0,"F.C.C. 13528",21,"","Southampton"
"216","Survived",1,"Newell, Miss. Madeleine","Female",31,1,0,"35273",113.275,"D36","Cherbourg"
"217","Survived",3,"Honkanen, Miss. Eliina","Female",27,0,0,"STON/O2. 3101283",7.925,"","Southampton"
"219","Survived",1,"Bazzani, Miss. Albina","Female",32,0,0,"11813",76.2917,"D15","Cherbourg"
"221","Survived",3,"Sunderland, Mr. Victor Francis","Male",16,0,0,"SOTON/OQ 392089",8.05,"","Southampton"
"225","Survived",1,"Hoyt, Mr. Frederick Maxfield","Male",38,1,0,"19943",90,"C93","Southampton"
